2014-04-16 20:37:35 install hostname:armhf <none> 3.15ubuntu1
2014-04-16 20:37:35 status half-installed hostname:armhf 3.15ubuntu1
2014-04-16 20:37:35 status unpacked hostname:armhf 3.15ubuntu1
2014-04-16 20:37:35 status unpacked hostname:armhf 3.15ubuntu1
2014-04-16 20:37:36 install ifupdown:armhf <none> 0.7.47.2ubuntu4
2014-04-16 20:37:36 status half-installed ifupdown:armhf 0.7.47.2ubuntu4
2014-04-16 20:37:36 status unpacked ifupdown:armhf 0.7.47.2ubuntu4
2014-04-16 20:37:36 status unpacked ifupdown:armhf 0.7.47.2ubuntu4
2014-04-16 20:37:36 install initramfs-tools:all <none> 0.103ubuntu4
2014-04-16 20:37:36 status half-installed initramfs-tools:all 0.103ubuntu4
2014-04-16 20:37:36 status unpacked initramfs-tools:all 0.103ubuntu4
2014-04-16 20:37:36 status unpacked initramfs-tools:all 0.103ubuntu4
2014-04-16 20:37:37 install initramfs-tools-bin:armhf <none> 0.103ubuntu4
2014-04-16 20:37:37 status half-installed initramfs-tools-bin:armhf 0.103ubuntu4
2014-04-16 20:37:37 status unpacked initramfs-tools-bin:armhf 0.103ubuntu4
2014-04-16 20:37:37 status unpacked initramfs-tools-bin:armhf 0.103ubuntu4
2014-04-16 20:37:37 install initscripts:armhf <none> 2.88dsf-41ubuntu6
2014-04-16 20:37:37 status half-installed initscripts:armhf 2.88dsf-41ubuntu6
2014-04-16 20:37:37 status unpacked initscripts:armhf 2.88dsf-41ubuntu6
2014-04-16 20:37:37 status unpacked initscripts:armhf 2.88dsf-41ubuntu6
2014-04-16 20:37:37 install insserv:armhf <none> 1.14.0-5ubuntu2
2014-04-16 20:37:37 status half-installed insserv:armhf 1.14.0-5ubuntu2
2014-04-16 20:37:38 status unpacked insserv:armhf 1.14.0-5ubuntu2
2014-04-16 20:37:38 status unpacked insserv:armhf 1.14.0-5ubuntu2
2014-04-16 20:37:38 install iproute2:armhf <none> 3.12.0-2
2014-04-16 20:37:38 status half-installed iproute2:armhf 3.12.0-2
2014-04-16 20:37:38 status unpacked iproute2:armhf 3.12.0-2
2014-04-16 20:37:38 status unpacked iproute2:armhf 3.12.0-2
2014-04-16 20:37:38 install klibc-utils:armhf <none> 2.0.3-0ubuntu1
2014-04-16 20:37:38 status half-installed klibc-utils:armhf 2.0.3-0ubuntu1
2014-04-16 20:37:38 status unpacked klibc-utils:armhf 2.0.3-0ubuntu1
2014-04-16 20:37:38 status unpacked klibc-utils:armhf 2.0.3-0ubuntu1
2014-04-16 20:37:39 install kmod:armhf <none> 15-0ubuntu6
2014-04-16 20:37:39 status half-installed kmod:armhf 15-0ubuntu6
2014-04-16 20:37:39 status unpacked kmod:armhf 15-0ubuntu6
2014-04-16 20:37:39 status unpacked kmod:armhf 15-0ubuntu6
2014-04-16 20:37:39 install libacl1:armhf <none> 2.2.52-1
2014-04-16 20:37:39 status half-installed libacl1:armhf 2.2.52-1
2014-04-16 20:37:39 status unpacked libacl1:armhf 2.2.52-1
2014-04-16 20:37:39 status unpacked libacl1:armhf 2.2.52-1
2014-04-16 20:37:40 install libattr1:armhf <none> 1:2.4.47-1ubuntu1
2014-04-16 20:37:40 status half-installed libattr1:armhf 1:2.4.47-1ubuntu1
2014-04-16 20:37:40 status unpacked libattr1:armhf 1:2.4.47-1ubuntu1
2014-04-16 20:37:40 status unpacked libattr1:armhf 1:2.4.47-1ubuntu1
2014-04-16 20:37:40 install libaudit-common:all <none> 1:2.3.2-2ubuntu1
2014-04-16 20:37:40 status half-installed libaudit-common:all 1:2.3.2-2ubuntu1
2014-04-16 20:37:40 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2014-04-16 20:37:40 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2014-04-16 20:37:40 install libaudit1:armhf <none> 1:2.3.2-2ubuntu1
2014-04-16 20:37:40 status half-installed libaudit1:armhf 1:2.3.2-2ubuntu1
2014-04-16 20:37:41 status unpacked libaudit1:armhf 1:2.3.2-2ubuntu1
2014-04-16 20:37:41 status unpacked libaudit1:armhf 1:2.3.2-2ubuntu1
2014-04-16 20:37:41 install libblkid1:armhf <none> 2.20.1-5.1ubuntu20
2014-04-16 20:37:41 status half-installed libblkid1:armhf 2.20.1-5.1ubuntu20
2014-04-16 20:37:41 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu20
2014-04-16 20:37:41 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu20
2014-04-16 20:37:41 install libbz2-1.0:armhf <none> 1.0.6-5
